id,name,slug,type,address,city_id,lat,lng,is_open,is_nfc,cash_in,working_weekends,is_digital,work_hours_week,work_hours_saturday,work_hours_sunday,notes
1230,"Favorit market, Salyan",favorit-market-salyan,A,"Favorit Market, Səbail rayonu, Salyan şössesi 20-ci ünvan",1,40.32894,49.81885,1,0,0,0,0,,,,
1231,"Araz Market, Badamdar",araz-market-badamdar,A,"Araz Market,  Badamdar qəsəbəsi, T.Memmedov 3 ve 5 unvaninda yerlesen 18 mertebeli binanin 1ci mertebesi",1,40.33899,49.80744,1,0,0,0,0,,,,
1232,"Araz Market, Badamdar 2",araz-market-badamdar-2,A,"Araz Market, Səbail Rayonu, Badamdar qəsəbəsi, 1 yaşayış massivi",1,40.35114,49.81062,1,0,0,0,0,,,,
1233,"Araz Market, Sulutəpə",araz-market-sulutepe,A,"Araz Market, Binəqədi rayonu, Sulutəpə qəsəbəsi, rayonu Allahverdiyev küçəsi, ev 25F   ",1,40.43297,49.77141,1,0,0,0,0,,,,
1234,"Sakit Market, Gülüstan",sakit-market-gulustan,A,"Sakit Market, Gülüstan qəsəbəsi, 37 saylı Binanın cənub küçəsi",20,40.76785,46.40851,1,0,0,0,0,,,,
1235,"Favorit, Nəsimi",favorit-nasimi,A,"Favorit, Binəqədi rayonu, Azadlıq prospekti 157",1,40.43632,49.84574,1,0,0,0,0,,,,
1236,Spar market 2,spar-market-2,A,"Spar Market, Binəqədi rayonu M.Ə.Rəsulzadə qəsəbəsi Binəqədi şossesi 195 E",1,40.43628,49.84424,1,0,0,0,0,,,,
1237,"Araz Market, Binəqədi",araz-market-bineqedi,A,"Araz Market,  Binəqədi rayonu, 6 - cı mikrorayon, İsrafil Həşimov küçəsi, ev 1a",1,40.42639,49.83223,1,0,0,0,0,,,,
1238,"Araz Market, 2-ci mikrorayon",araz-market-2-microdistrict,A,"Araz Market, Binəqədi rayonu, 9 mikrorayon, H.Seyidzadə küçəsi 38",1,40.42034,49.80946,1,0,0,0,0,,,,
1239,"Araz Market, Binəqədi",araz-market-bineqedi-2,A,"Araz Market, Binəqədi rayonu, Binəqədi ŞTQ 2-ci mədən",1,40.46602,49.82926,1,0,0,0,0,,,,
