source,type,location_id,name,address,city,country,latitude,longitude,phone,email,website,working_hours_weekday,working_hours_saturday,working_hours_sunday,cash_in,nfc,24_7,work_on_weekend,additional_info
ABB Bank,ATM,266,ATM CNV ARAZ S.BAHLULZADE,"Bakı, Binəqədi rayonu, S.Bəhlulzadə küç. 93 (Araz S.Bəhlulzadə)",,Azerbaijan,40.41396,49.83931,,,,,,,False,,,,"Status: , Type: ATM"
ABB Bank,ATM,2818,ATM RIM XIR SARAY ARAZ ASADOV,"Abşeron rayonu, Saray Qəsəbəsi, General Məhəmməd Əsədov və 20 Yanvar küç. kəsişməsi (Saray Araz market-2)",,Azerbaijan,40.53021,49.71436,,,,,,,True,,,,"Status: , Type: ATM"
ABB Bank,ATM,2797,ATM RIM XIR BINAGADI MARKAZ ARAZ,"Bakı, Qaradağ r., Səngəçal qəs. Səlyan şossesi, 43-cü km (BP-Sanqaçal terminal)",,Azerbaijan,40.4668,49.82767,,,,,,,True,,,,"Status: , Type: ATM"
ABB Bank,ATM,2817,ATM RIM XIR ARAZ SARAY PETROL,"Abşeron rayonu, Saray qəsəbəsi (Araz market Petrol)",,Azerbaijan,40.54801,49.71297,,,,,,,True,,,,"Status: , Type: ATM"
ABB Bank,ATM,2802,ATM SBC RISH AMIRCAN GRANDMART,"Suraxanı rayonu, Əmircan qəsəbəsi, İlqar Məmmədov küçəsi",,Azerbaijan,40.433184,49.983698,,,,,,,True,,,,"Status: , Type: ATM"
ABB Bank,ATM,2006,ATM SBC RİSH KEND AHMEDLİ OBA,"Bakı, Xətai rayonu, Kənd Əhmədli qəsəbəsi Seyid Mirhəsən Ağa küçəsi 24/4 (Oba market)",,Azerbaijan,40.38546,49.94351,,,,,,,False,,,,"Status: , Type: ATM"
ABB Bank,ATM,2827,ATM SBC RISH QARACHUXUR. TAMSTORE,"Bakı, Suraxanı rayonu, Zaur Şərifov küçəsi (Tam store Qaraçuxur)",,Azerbaijan,40.40127,49.9749,,,,,,,True,,,,"Status: , Type: ATM"
ABB Bank,ATM,2824,ATM SBC RISH PIRALLAHI ARAZ,"Bakı,  Pirallahı rayonu, Kamil Rzayev küç. ",,Azerbaijan,40.45563,50.33721,,,,,,,True,,,,"Status: , Type: ATM"
ABB Bank,ATM,2826,ATM CNV SHAGAN/MARD OBA,"Bakı, Xəzər r. Mərdəkan qəs. S. Esenin (Oba Mərdəkan)",,Azerbaijan,40.487765483014805,50.13811918080828,,,,,,,True,,,True,"Status: , Type: ATM"
ABB Bank,ATM,1830,ATM RİM XİR OBA M. MUSHFIGABAD,"Bakı, Qaradağ rayonu, Müşviqabad qəsəbəsi (Oba market)",,Azerbaijan,40.463923,49.629655,,,,,,,False,,,,"Status: , Type: ATM"
ABB Bank,ATM,2335,ATM RIM XIR GARADAG BP SANGACAHAL,"Bakı, Qaradağ r., Səngəçal qəs. Səlyan şossesi, 43-cü km (BP-Sanqaçal terminal)",,Azerbaijan,40.384720315384406,49.82882713584962,,,,,,,True,,,True,"Status: , Type: ATM"
