name,branch_id,address,latitude,longitude,distance_km
OBA-YENI GUNESLI 7,OBA-YENI GUNESLI 7,OBA-YENI GUNESLI 7,40.3797740975452,49.980071,2.43
OBA-EMIRCAN 4,OBA-EMIRCAN 4,OBA-EMIRCAN 4,40.4222390975452,49.987622,2.43
OBA-YENI GUNESLI 2,OBA-YENI GUNESLI 2,OBA-YENI GUNESLI 2,40.3800290975452,49.983807,2.44
OBA-BAKIXANOV 22,OBA-BAKIXANOV 22,OBA-BAKIXANOV 22,40.4209590975452,49.964433,2.45
OBA-EMIRCAN 2,OBA-EMIRCAN 2,OBA-EMIRCAN 2,40.4193210975452,49.995562,2.46
OBA-SURAXANI 8,OBA-SURAXANI 8,OBA-SURAXANI 8,40.4168123174331,49.9992970836116,2.46
OBA-XETAI 3,OBA-XETAI 3,OBA-XETAI 3,40.3942910975452,49.950384,2.49
OBA-NEFTCHILER 18,OBA-NEFTCHILER 18,OBA-NEFTCHILER 18,40.4110294215568,49.9512819432292,2.51
OBA-EHMEDLI 21,OBA-EHMEDLI 21,OBA-EHMEDLI 21,40.3829840047522,49.9608020723604,2.54
OBA-EHMEDLI 24,OBA-EHMEDLI 24,OBA-EHMEDLI 24,40.388116009312,49.9533459846554,2.58
OBA-NEFTCHILER 7,OBA-NEFTCHILER 7,OBA-NEFTCHILER 7,40.4056710975452,49.947775,2.61
OBA-EHMEDLI 20,OBA-EHMEDLI 20,OBA-EHMEDLI 20,40.3846903138615,49.9565502355824,2.62
OBA-NEFTCHILER 3,OBA-NEFTCHILER 3,OBA-NEFTCHILER 3,40.4032500975452,49.947063,2.64
OBA-SURAXANI 9,OBA-SURAXANI 9,OBA-SURAXANI 9,40.4200427179286,49.9980957257951,2.66
OBA-XALQLAR 5,OBA-XALQLAR 5,OBA-XALQLAR 5,40.3969840975452,49.947359,2.66
OBA-XALQLAR 7,OBA-XALQLAR 7,OBA-XALQLAR 7,40.4018560975452,49.946487,2.68
OBA-SURAXANI 7,OBA-SURAXANI 7,OBA-SURAXANI 7,40.4190240975452,50.00021,2.69
OBA-NEFTCHILER 4,OBA-NEFTCHILER 4,OBA-NEFTCHILER 4,40.4049280975452,49.946626,2.7
OBA-EMIRCAN 6,OBA-EMIRCAN 6,OBA-EMIRCAN 6,40.4233680625686,49.9926939103677,2.72
OBA-NEFTCILER 16,OBA-NEFTCILER 16,OBA-NEFTCILER 16,40.4034180975452,49.946152,2.72
OBA-EHMEDLI 2,OBA-EHMEDLI 2,OBA-EHMEDLI 2,40.3815310975452,49.959785,2.72
OBA-YENI GUNESLI 3,OBA-YENI GUNESLI 3,OBA-YENI GUNESLI 3,40.3764400975452,49.978401,2.8
OBA-KOHNE GUNESLI 4,OBA-KOHNE GUNESLI 4,OBA-KOHNE GUNESLI 4,40.3777180975452,49.967266,2.81
OBA-BAKIXANOV 17,OBA-BAKIXANOV 17,OBA-BAKIXANOV 17,40.4211920975452,49.957055,2.82
OBA-KGUNESHLI 15,OBA-KGUNESHLI 15,OBA-KGUNESHLI 15,40.3788190975452,49.962979,2.84
OBA-SURAXANI 5,OBA-SURAXANI 5,OBA-SURAXANI 5,40.4223340975452,49.99948,2.93
OBA-EHMEDLI 10,OBA-EHMEDLI 10,OBA-EHMEDLI 10,40.3818920975452,49.954439,2.97
OBA-SURAXANI 3,OBA-SURAXANI 3,OBA-SURAXANI 3,40.4221390975452,50.000943,2.99
OBA-EMIRCAN,OBA-EMIRCAN,OBA-EMIRCAN,40.4275670975452,49.987642,3
OBA-SURAXANI 4,OBA-SURAXANI 4,OBA-SURAXANI 4,40.4176120975452,50.007095,3.03
OBA-EHMEDLI 9,OBA-EHMEDLI 9,OBA-EHMEDLI 9,40.3863160975452,49.948353,3.04
OBA-NEFTCHILER 13,OBA-NEFTCHILER 13,OBA-NEFTCHILER 13,40.4134410975452,49.945468,3.07
OBA-KGUNESHLI 17,OBA-KGUNESHLI 17,OBA-KGUNESHLI 17,40.3758860975452,49.964785,3.07
OBA-BAKIXANOV 25,OBA-BAKIXANOV 25,OBA-BAKIXANOV 25,40.4263822768979,49.9612467292388,3.11
OBA-XALQLAR 11,OBA-XALQLAR 11,OBA-XALQLAR 11,40.3965860975452,49.941795,3.13
OBA-NEFTCHILER 2,OBA-NEFTCHILER 2,OBA-NEFTCHILER 2,40.4072890975452,49.941948,3.13
OBA-NEFTCHILER 20,OBA-NEFTCHILER 20,OBA-NEFTCHILER 20,40.409961988489,49.9425582821742,3.16
