id,name,address,short_address,latitude,longitude,type,work_hours,work_hours_weekend,cash_in,exchange
331,ATM Qaradağ,"Qaradağ, Salyan şossesi 83",,40.259663,49.652328,network_atm,24/7,,No,No
332,ATM Sahil Qəsəbəsi,"Qaradağ, Sahil q/Dostlug ev 3",,40.223685,49.57825,network_atm,24/7,,No,No
335,ATM Azerbaijan British College,M.Əliyev 20/41      Bakı İstedadlar,,40.400378,49.932202,network_atm,24/7,,No,No
336,ATM Binəqədi,Azadlıq pr. 214,,40.436459,49.844635,network_atm,24 saat,,No,No
337,ATM Socar Baş Ofis,"H.Əliyev pr ,121",,40.40538,49.88356,network_atm,24/7,,No,No
338,ATM Quşçuluq Şirvan,"Hacıqabul ray, Ağacanlı kəndi",,39.9251411,48.9174213,network_atm,24/7,,No,No
339,ATM İnqilab,Azadlıq və Həsən Əliyev 49 kəsişməsi,,40.400061,49.838592,network_atm,24/7,,No,No
340,ATM Zaqulba,"Buzovna qəs, R.Imanov küç ev 22a",,40.527286,50.097927,network_atm,24/7,,No,No
341,ATM Astaraçay,"Astara rayonu, Kakalos kəndi.",,38.623901,48.80712,network_atm,24/7,,No,No
342,ATM Yeni Sahil T/M,"Qaradağ ray M, Seyidov kuc",,40.227032,49.576156,network_atm,24 saat,,No,No
343,ATM 28 Mall,Azadlıq pr.27,,40.37917,49.846767,network_atm,24/7,,No,No
344,ATM Bona Dea,Mehdi Abbasov küç.  Xarı Bül-Bül şadlıq evi ilə üzbəüz.,,40.41232,49.93045,network_atm,24/7,,No,No
345,ATM Xətai filialı,Xocalı pr. 37,,40.3829951,49.8686413,network_atm,24/7,,No,No
347,ATM Azgranata,"Qaradağ ray,Lökbatan qəs Heybət st, cənub şərq hissəsi",,40.336836,49.779521,network_atm,24/7,,No,No
348,ATM Socar Polymer,Sumqayıt şəh.,,40.6128342045894,49.592935893101576,network_atm,24/7,,No,No
350,ATM Həzi Aslanov,H.Aslanov metrosunun ukrayna dairəsi tərəfə çıxışda.,,40.376284,49.95398,network_atm,24/7,,No,No
353,ATM Vergilər Nazirliyi,H.Cavid pr. və B.Vahabzadə küç. kəsişməsi,,40.37252,49.8189,network_atm,24/7,,No,No
354,ATM Elmlər Akademiyası,Qurban Xəlilov küç. 41B,,40.375586,49.815978,network_atm,24/7,,No,No
2084,ATM Boş Şelf Zavod 3,"Qaradağ, Salyan şossesi",,40.260693,49.660654,network_atm,24/7,,No,No
2085,ATM Boş Şelf Zavod 4,"Qaradağ, Salyan şossesi",,40.260693,49.660654,network_atm,24/7,,No,No
2489,ATM PRİMORSK,"Qaradağ, Sahil q/Dostlug ev 41",,40.223685,49.57825,network_atm,24/7,,No,No
3118,ATM CRESCENT MALL,Neftçilər pr. 66,,40.37415838379602,49.860326776690556,network_atm,24/7,,No,No
3119,ATM GƏNCƏ-2,H.Əliyev pr.423,,40.681101974566346,46.36248305665042,network_atm,24/7,,No,No
